Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
Management and modeling approaches for controlling raccoon rabies: The road to elimination.,/pubmed/28301480,"Elmore SA, Chipman RB, Slate D, Huyvaert KP, VerCauteren KC, Gilbert AT.",PLoS Negl Trop Dis. 2017 Mar 16;11(3):e0005249. doi: 10.1371/journal.pntd.0005249. eCollection 2017 Mar. Review. Erratum in: PLoS Negl Trop Dis. 2017 May 2;11(5):e0005579. ,PLoS Negl Trop Dis.  2017,PubMed,citation,PMID:28301480 | PMCID:PMC5354248,pubmed,28301480,create date:2017/03/17 | first author:Elmore SA
"Eliminating Dog-Mediated Rabies in Sikkim, India: A 10-Year Pathway to Success for the SARAH Program.",/pubmed/28361056,"Byrnes H, Britton A, Bhutia T.",Front Vet Sci. 2017 Mar 15;4:28. doi: 10.3389/fvets.2017.00028. eCollection 2017.,Front Vet Sci.  2017,PubMed,citation,PMID:28361056 | PMCID:PMC5350140,pubmed,28361056,create date:2017/04/01 | first author:Byrnes H
Predicted Spatial Spread of Canine Rabies in Australia.,/pubmed/28114327,"Johnstone-Robertson SP, Fleming PJ, Ward MP, Davis SA.",PLoS Negl Trop Dis. 2017 Jan 23;11(1):e0005312. doi: 10.1371/journal.pntd.0005312. eCollection 2017 Jan.,PLoS Negl Trop Dis.  2017,PubMed,citation,PMID:28114327 | PMCID:PMC5289603,pubmed,28114327,create date:2017/01/24 | first author:Johnstone-Robertson SP
A Novel Rabies Vaccine Expressing CXCL13 Enhances Humoral Immunity by Recruiting both T Follicular Helper and Germinal Center B Cells.,/pubmed/27852854,"Wang Z, Li M, Zhou M, Zhang Y, Yang J, Cao Y, Wang K, Cui M, Chen H, Fu ZF, Zhao L.",J Virol. 2017 Jan 18;91(3). pii: e01956-16. doi: 10.1128/JVI.01956-16. Print 2017 Feb 1.,J Virol.  2017,PubMed,citation,PMID:27852854 | PMCID:PMC5244327,pubmed,27852854,create date:2016/11/18 | first author:Wang Z
"A mixed methods approach to assess animal vaccination programmes: The case of rabies control in Bamako, Mali.",/pubmed/27751865,"Mosimann L, TraorÃ© A, Mauti S, LÃ©chenne M, Obrist B, VÃ©ron R, Hattendorf J, Zinsstag J.",Acta Trop. 2017 Jan;165:203-215. doi: 10.1016/j.actatropica.2016.10.007. Epub 2016 Oct 15.,Acta Trop.  2017,PubMed,citation,PMID:27751865,pubmed,27751865,create date:2016/10/19 | first author:Mosimann L
Comparison of G protein sequences of South African street rabies viruses showing distinct progression of the disease in a mouse model of experimental rabies.,/pubmed/28627433,"Seo W, Servat A, Cliquet F, Akinbowale J, Prehaud C, Lafon M, Sabeta C.",Microbes Infect. 2017 Sep - Oct;19(9-10):485-491. doi: 10.1016/j.micinf.2017.05.005. Epub 2017 Jun 13.,Microbes Infect.  2017,PubMed,citation,PMID:28627433,pubmed,28627433,create date:2017/06/20 | first author:Seo W
One Health approach to cost-effective rabies control in India.,/pubmed/27994161,"Fitzpatrick MC, Shah HA, Pandey A, Bilinski AM, Kakkar M, Clark AD, Townsend JP, Abbas SS, Galvani AP.",Proc Natl Acad Sci U S A. 2016 Dec 20;113(51):14574-14581. doi: 10.1073/pnas.1604975113.,Proc Natl Acad Sci U S A.  2016,PubMed,citation,PMID:27994161 | PMCID:PMC5187709,pubmed,27994161,create date:2016/12/21 | first author:Fitzpatrick MC
Optimal frequency of rabies vaccination campaigns in Sub-Saharan Africa.,/pubmed/27852799,"Bilinski AM, Fitzpatrick MC, Rupprecht CE, Paltiel AD, Galvani AP.",Proc Biol Sci. 2016 Nov 16;283(1842). pii: 20161211.,Proc Biol Sci.  2016,PubMed,citation,PMID:27852799 | PMCID:PMC5124087,pubmed,27852799,create date:2016/11/18 | first author:Bilinski AM
"[Assessment of the spatial accessibility to the rabies vaccination campaign in BogotÃ¡, Colombia].",/pubmed/27869393,"Monsalve S, Rucinque S, Polo L, Polo G.",Biomedica. 2016 Sep 1;36(3):447-453. doi: 10.7705/biomedica.v36i3.3074. Spanish. ,Biomedica.  2016,PubMed,citation,PMID:27869393,pubmed,27869393,create date:2016/11/22 | first author:Monsalve S
Rabies disease dynamics in naÃ¯ve dog populations in Australia.,/pubmed/27544262,"Sparkes J, McLeod S, Ballard G, Fleming PJS, KÃ¶rtner G, Brown WY.",Prev Vet Med. 2016 Sep 1;131:127-136. doi: 10.1016/j.prevetmed.2016.07.015. Epub 2016 Jul 25.,Prev Vet Med.  2016,PubMed,citation,PMID:27544262,pubmed,27544262,create date:2016/08/22 | first author:Sparkes J
"Risk factors associated with nonvaccination rabies status of dogs in KwaZulu-Natal, South Africa.",/pubmed/30050840,"Hergert M, le Roux K, Nel LH.",Vet Med (Auckl). 2016 Jun 27;7:75-83. doi: 10.2147/VMRR.S103859. eCollection 2016.,Vet Med (Auckl).  2016,PubMed,citation,PMID:30050840 | PMCID:PMC6055787,pubmed,30050840,create date:2016/06/27 | first author:Hergert M
"Quantitative risk assessment of the introduction of rabies into Japan through the illegal landing of dogs from Russian fishing boats in the ports of Hokkaido, Japan.",/pubmed/27237397,"Kwan NC, Ogawa H, Yamada A, Sugiura K.",Prev Vet Med. 2016 Jun 1;128:112-23. doi: 10.1016/j.prevetmed.2016.04.015. Epub 2016 Apr 26.,Prev Vet Med.  2016,PubMed,citation,PMID:27237397,pubmed,27237397,create date:2016/05/31 | first author:Kwan NC
A randomized trial evaluating child dog-bite prevention in rural China through video-based testimonials.,/pubmed/26523353,"Shen J, Pang S, Schwebel DC.",Health Psychol. 2016 May;35(5):454-64. doi: 10.1037/hea0000273. Epub 2015 Nov 2.,Health Psychol.  2016,PubMed,citation,PMID:26523353 | PMCID:PMC4833565,pubmed,26523353,create date:2015/11/03 | first author:Shen J
A Survey of Dog Owners in Remote Northern Australian Indigenous Communities to Inform Rabies Incursion Planning.,/pubmed/27115351,"Hudson EG, Dhand N, DÃ_rr S, Ward MP.",PLoS Negl Trop Dis. 2016 Apr 26;10(4):e0004649. doi: 10.1371/journal.pntd.0004649. eCollection 2016 Apr.,PLoS Negl Trop Dis.  2016,PubMed,citation,PMID:27115351 | PMCID:PMC4846002,pubmed,27115351,create date:2016/04/27 | first author:Hudson EG
Revealing the Micro-scale Signature of Endemic Zoonotic Disease Transmission in an African Urban Setting.,/pubmed/27058957,"Bourhy H, NakounÃ© E, Hall M, Nouvellet P, Lepelletier A, Talbi C, Watier L, Holmes EC, Cauchemez S, Lemey P, Donnelly CA, Rambaut A.",PLoS Pathog. 2016 Apr 8;12(4):e1005525. doi: 10.1371/journal.ppat.1005525. eCollection 2016 Apr.,PLoS Pathog.  2016,PubMed,citation,PMID:27058957 | PMCID:PMC4825935,pubmed,27058957,create date:2016/04/09 | first author:Bourhy H
Reverse genetics in high throughput: rapid generation of complete negative strand RNA virus cDNA clones and recombinant viruses thereof.,/pubmed/27046474,"Nolden T, Pfaff F, Nemitz S, Freuling CM, HÃ¶per D, MÃ_ller T, Finke S.",Sci Rep. 2016 Apr 5;6:23887. doi: 10.1038/srep23887.,Sci Rep.  2016,PubMed,citation,PMID:27046474 | PMCID:PMC4820695,pubmed,27046474,create date:2016/04/06 | first author:Nolden T
Molecular and mathematical modeling analyses of inter-island transmission of rabies into a previously rabies-free island in the Philippines.,/pubmed/26656835,"Tohma K, Saito M, Demetria CS, Manalo DL, Quiambao BP, Kamigaki T, Oshitani H.",Infect Genet Evol. 2016 Mar;38:22-28. doi: 10.1016/j.meegid.2015.12.001. Epub 2015 Dec 2.,Infect Genet Evol.  2016,PubMed,citation,PMID:26656835,pubmed,26656835,create date:2015/12/15 | first author:Tohma K
"Epidemiology, Impact and Control of Rabies in Nepal: A Systematic Review.",/pubmed/26871689,"Devleesschauwer B, Aryal A, Sharma BK, Ale A, Declercq A, Depraz S, Gaire TN, Gongal G, Karki S, Pandey BD, Pun SB, Duchateau L, Dorny P, Speybroeck N.",PLoS Negl Trop Dis. 2016 Feb 12;10(2):e0004461. doi: 10.1371/journal.pntd.0004461. eCollection 2016 Feb. Review.,PLoS Negl Trop Dis.  2016,PubMed,citation,PMID:26871689 | PMCID:PMC4752342,pubmed,26871689,create date:2016/02/13 | first author:Devleesschauwer B
Estimating the probability distribution of the incubation period for rabies using data from the 1948-1954 rabies epidemic in Tokyo.,/pubmed/26688561,"Tojinbara K, Sugiura K, Yamada A, Kakitani I, Kwan NCL, Sugiura K.",Prev Vet Med. 2016 Jan 1;123:102-105. doi: 10.1016/j.prevetmed.2015.11.018. Epub 2015 Dec 3.,Prev Vet Med.  2016,PubMed,citation,PMID:26688561,pubmed,26688561,create date:2015/12/22 | first author:Tojinbara K
Heterogeneity in the spread and control of infectious disease: consequences for the elimination of canine rabies.,/pubmed/26667267,"Ferguson EA, Hampson K, Cleaveland S, Consunji R, Deray R, Friar J, Haydon DT, Jimenez J, Pancipane M, Townsend SE.",Sci Rep. 2015 Dec 15;5:18232. doi: 10.1038/srep18232.,Sci Rep.  2015,PubMed,citation,PMID:26667267 | PMCID:PMC4678884,pubmed,26667267,create date:2015/12/17 | first author:Ferguson EA
Recombinant rabies virus expressing dog GM-CSF is an efficacious oral rabies vaccine for dogs.,/pubmed/26436700,"Zhou M, Wang L, Zhou S, Wang Z, Ruan J, Tang L, Jia Z, Cui M, Zhao L, Fu ZF.",Oncotarget. 2015 Nov 17;6(36):38504-16. doi: 10.18632/oncotarget.5904.,Oncotarget.  2015,PubMed,citation,PMID:26436700 | PMCID:PMC4770717,pubmed,26436700,create date:2015/10/06 | first author:Zhou M
Reconciling surveillance systems with limited resources: an evaluation of passive surveillance for rabies in an endemic setting.,/pubmed/26219675,"Craighead L, Gilbert W, Subasinghe D, HÃ_sler B.",Prev Vet Med. 2015 Oct 1;121(3-4):206-14. doi: 10.1016/j.prevetmed.2015.06.016. Epub 2015 Jul 7.,Prev Vet Med.  2015,PubMed,citation,PMID:26219675,pubmed,26219675,create date:2015/07/30 | first author:Craighead L
Development of a Novel Rabies Simulation Model for Application in a Non-endemic Environment.,/pubmed/26114762,"DÃ_rr S, Ward MP.",PLoS Negl Trop Dis. 2015 Jun 26;9(6):e0003876. doi: 10.1371/journal.pntd.0003876. eCollection 2015.,PLoS Negl Trop Dis.  2015,PubMed,citation,PMID:26114762 | PMCID:PMC4482682,pubmed,26114762,create date:2015/06/27 | first author:DÃ_rr S
"Low coverage of central point vaccination against dog rabies in Bamako, Mali.",/pubmed/25953653,"Muthiani Y, TraorÃ© A, Mauti S, Zinsstag J, Hattendorf J.",Prev Vet Med. 2015 Jun 15;120(2):203-209. doi: 10.1016/j.prevetmed.2015.04.007. Epub 2015 Apr 20.,Prev Vet Med.  2015,PubMed,citation,PMID:25953653,pubmed,25953653,create date:2015/05/09 | first author:Muthiani Y
Modeling the geographic spread of rabies in China.,/pubmed/26020234,"Chen J, Zou L, Jin Z, Ruan S.",PLoS Negl Trop Dis. 2015 May 28;9(5):e0003772. doi: 10.1371/journal.pntd.0003772. eCollection 2015 May.,PLoS Negl Trop Dis.  2015,PubMed,citation,PMID:26020234 | PMCID:PMC4447479,pubmed,26020234,create date:2015/05/29 | first author:Chen J
Cost-effectiveness of rabies post-exposure prophylaxis in the context of very low rabies risk: A decision-tree model based on the experience of France.,/pubmed/25797366,"Ribadeau Dumas F, N'Diaye DS, Paireau J, Gautret P, Bourhy H, Le Pen C, Yazdanpanah Y.",Vaccine. 2015 May 11;33(20):2367-78. doi: 10.1016/j.vaccine.2015.02.075. Epub 2015 Mar 20.,Vaccine.  2015,PubMed,citation,PMID:25797366,pubmed,25797366,create date:2015/03/24 | first author:Ribadeau Dumas F
Estimating the global burden of endemic canine rabies.,/pubmed/25881058,"Hampson K, Coudeville L, Lembo T, Sambo M, Kieffer A, Attlan M, Barrat J, Blanton JD, Briggs DJ, Cleaveland S, Costa P, Freuling CM, Hiby E, Knopf L, Leanes F, Meslin FX, Metlin A, Miranda ME, MÃ_ller T, Nel LH, Recuenco S, Rupprecht CE, et al.",PLoS Negl Trop Dis. 2015 Apr 16;9(4):e0003709. doi: 10.1371/journal.pntd.0003709. eCollection 2015 Apr. Erratum in: PLoS Negl Trop Dis. 2015 May;9(5):e0003786. ,PLoS Negl Trop Dis.  2015,PubMed,citation,PMID:25881058 | PMCID:PMC4400070,pubmed,25881058,create date:2015/04/17 | first author:Hampson K
"Characterization of a virulent dog-originated rabies virus affecting more than twenty fallow deer (Dama dama) in Inner Mongolia, China.",/pubmed/25614955,"Zhu H, Chen X, Shao X, Ba H, Wang F, Wang H, Yang Y, Sun N, Ren J, Cheng S, Wen Y.",Infect Genet Evol. 2015 Apr;31:127-34. doi: 10.1016/j.meegid.2014.12.024. Epub 2015 Jan 20.,Infect Genet Evol.  2015,PubMed,citation,PMID:25614955,pubmed,25614955,create date:2015/01/24 | first author:Zhu H
"Dog ownership, abundance and potential for bat-borne rabies spillover in Chile.",/pubmed/25656549,"Astorga F, Escobar LE, Poo-MuÃ±oz DA, Medina-Vogel G.",Prev Vet Med. 2015 Mar 1;118(4):397-405. doi: 10.1016/j.prevetmed.2015.01.002. Epub 2015 Jan 13.,Prev Vet Med.  2015,PubMed,citation,PMID:25656549,pubmed,25656549,create date:2015/02/07 | first author:Astorga F
Comparison of mark-resight methods to estimate abundance and rabies vaccination coverage of free-roaming dogs in two urban areas of south Bhutan.,/pubmed/25650307,"Tenzin T, McKenzie JS, Vanderstichel R, Rai BD, Rinzin K, Tshering Y, Pem R, Tshering C, Dahal N, Dukpa K, Dorjee S, Wangchuk S, Jolly PD, Morris R, Ward MP.",Prev Vet Med. 2015 Mar 1;118(4):436-48. doi: 10.1016/j.prevetmed.2015.01.008. Epub 2015 Jan 16.,Prev Vet Med.  2015,PubMed,citation,PMID:25650307,pubmed,25650307,create date:2015/02/05 | first author:Tenzin T
Comparison of Monkeypox Virus Clade Kinetics and Pathology within the Prairie Dog Animal Model Using a Serial Sacrifice Study Design.,/pubmed/26380309,"Hutson CL, Carroll DS, Gallardo-Romero N, Drew C, Zaki SR, Nagy T, Hughes C, Olson VA, Sanders J, Patel N, Smith SK, Keckler MS, Karem K, Damon IK.",Biomed Res Int. 2015;2015:965710. doi: 10.1155/2015/965710. Epub 2015 Aug 24.,Biomed Res Int.  2015,PubMed,citation,PMID:26380309 | PMCID:PMC4561332,pubmed,26380309,create date:2015/09/18 | first author:Hutson CL
"Development of time-trend model for analysing and predicting case pattern of dog bite injury induced rabies-like-illness in Liberia, 2014-2017.",/pubmed/26949785,"Jomah ND, Ojo JF, Odigie EA, Olugasa BO.",Afr J Med Med Sci. 2014 Dec;43 Suppl:87-95.,Afr J Med Med Sci.  2014,PubMed,citation,PMID:26949785,pubmed,26949785,create date:2014/12/01 | first author:Jomah ND
Roaming behaviour and home range estimation of domestic dogs in Aboriginal and Torres Strait Islander communities in northern Australia using four different methods.,/pubmed/25096735,"DÃ_rr S, Ward MP.",Prev Vet Med. 2014 Nov 15;117(2):340-57. doi: 10.1016/j.prevetmed.2014.07.008. Epub 2014 Jul 24.,Prev Vet Med.  2014,PubMed,citation,PMID:25096735,pubmed,25096735,create date:2014/08/07 | first author:DÃ_rr S
First trials of oral vaccination with rabies SAG2 dog baits in Morocco.,/pubmed/25003096,"Darkaoui S, BouÃ© F, Demerson JM, Fassi Fihri O, Yahia KI, Cliquet F.",Clin Exp Vaccine Res. 2014 Jul;3(2):220-6. doi: 10.7774/cevr.2014.3.2.220. Epub 2014 Jun 20.,Clin Exp Vaccine Res.  2014,PubMed,citation,PMID:25003096 | PMCID:PMC4083075,pubmed,25003096,create date:2014/07/09 | first author:Darkaoui S
How to reduce the latent social risk of disease: the determinants of vaccination against rabies in Taiwan.,/pubmed/24901413,"Ku-Yuan L, Li-Chi L, Jiun-Hao W, Chen-Ling F, Kun-Sun S.",Int J Environ Res Public Health. 2014 Jun 4;11(6):5934-50. doi: 10.3390/ijerph110605934.,Int J Environ Res Public Health.  2014,PubMed,citation,PMID:24901413 | PMCID:PMC4078556,pubmed,24901413,create date:2014/06/06 | first author:Ku-Yuan L
The changing landscape of rabies epidemiology and control.,/pubmed/25005807,"Cleaveland S, Beyer H, Hampson K, Haydon D, Lankester F, Lembo T, Meslin FX, Morters M, Mtema Z, Sambo M, Townsend S.",Onderstepoort J Vet Res. 2014 Apr 23;81(2):E1-8. doi: 10.4102/ojvr.v81i2.731. Review.,Onderstepoort J Vet Res.  2014,PubMed,citation,PMID:25005807,pubmed,25005807,create date:2014/07/10 | first author:Cleaveland S
Control of canine rabies in developing countries: key features and animal welfare implications.,/pubmed/25000804,"ArÃ©chiga Ceballos N, Karunaratna D, Aguilar SetiÃ©n A.",Rev Sci Tech. 2014 Apr;33(1):311-21.,Rev Sci Tech.  2014,PubMed,citation,PMID:25000804,pubmed,25000804,create date:2014/07/09 | first author:ArÃ©chiga Ceballos N
"Demographics of animal bite victims & management practices in a tertiary care institute in Mumbai, Maharashtra, India.",/pubmed/24820842,"Gogtay NJ, Nagpal A, Mallad A, Patel K, Stimpson SJ, Belur A, Thatte UM.",Indian J Med Res. 2014 Mar;139(3):459-62.,Indian J Med Res.  2014,PubMed,citation,PMID:24820842 | PMCID:PMC4069742,pubmed,24820842,create date:2014/05/14 | first author:Gogtay NJ
Cost-effectiveness of canine vaccination to prevent human rabies in rural Tanzania.,/pubmed/24592494,"Fitzpatrick MC, Hampson K, Cleaveland S, Mzimbiri I, Lankester F, Lembo T, Meyers LA, Paltiel AD, Galvani AP.",Ann Intern Med. 2014 Jan 21;160(2):91-100.,Ann Intern Med.  2014,PubMed,citation,PMID:24592494 | PMCID:PMC4084874,pubmed,24592494,create date:2014/03/05 | first author:Fitzpatrick MC
Strategic model of national rabies control in Korea.,/pubmed/24427765,"Cheong Y, Kim B, Lee KJ, Park D, Kim S, Kim H, Park E, Lee H, Bae C, Oh C, Park SY, Song CS, Lee SW, Choi IS, Lee JB.",Clin Exp Vaccine Res. 2014 Jan;3(1):78-90. doi: 10.7774/cevr.2014.3.1.78. Epub 2013 Dec 18. Review.,Clin Exp Vaccine Res.  2014,PubMed,citation,PMID:24427765 | PMCID:PMC3890453,pubmed,24427765,create date:2014/01/16 | first author:Cheong Y
Costs of rabies control: an economic calculation method applied to Flores Island.,/pubmed/24386244,"Wera E, Velthuis AG, Geong M, Hogeveen H.",PLoS One. 2013 Dec 27;8(12):e83654. doi: 10.1371/journal.pone.0083654. eCollection 2013.,PLoS One.  2013,PubMed,citation,PMID:24386244 | PMCID:PMC3873960,pubmed,24386244,create date:2014/01/05 | first author:Wera E
Prioritization of capacities for the elimination of dog-mediated human rabies in the Americas: building the framework.,/pubmed/24392676,"Del Rio Vilas VJ, BurgeÃ±o A, Montibeller G, Clavijo A, Vigilato MA, Cosivi O.",Pathog Glob Health. 2013 Oct;107(7):340-5.,Pathog Glob Health.  2013,PubMed,citation,PMID:24392676 | PMCID:PMC4083153,pubmed,24392676,create date:2014/01/08 | first author:Del Rio Vilas VJ
A reassessment of the evolutionary timescale of bat rabies viruses based upon glycoprotein gene sequences.,/pubmed/23839669,"Kuzmina NA, Kuzmin IV, Ellison JA, Taylor ST, Bergman DL, Dew B, Rupprecht CE.",Virus Genes. 2013 Oct;47(2):305-10. doi: 10.1007/s11262-013-0952-9. Epub 2013 Jul 10.,Virus Genes.  2013,PubMed,citation,PMID:23839669,pubmed,23839669,create date:2013/07/11 | first author:Kuzmina NA
Concomitant administration of GonaConâ„¢ and rabies vaccine in female dogs (Canis familiaris) in Mexico.,/pubmed/23871822,"Vargas-Pino F, GutiÃ©rrez-Cedillo V, Canales-Vargas EJ, Gress-Ortega LR, Miller LA, Rupprecht CE, Bender SC, GarcÃ_a-Reyna P, Ocampo-LÃ_pez J, Slate D.",Vaccine. 2013 Sep 13;31(40):4442-7. doi: 10.1016/j.vaccine.2013.06.061. Epub 2013 Jul 16.,Vaccine.  2013,PubMed,citation,PMID:23871822,pubmed,23871822,create date:2013/07/23 | first author:Vargas-Pino F
Geographical analysis of the distribution and spread of human rabies in china from 2005 to 2011.,/pubmed/23991098,"Guo D, Zhou H, Zou Y, Yin W, Yu H, Si Y, Li J, Zhou Y, Zhou X, MagalhÃ£es RJ.",PLoS One. 2013 Aug 26;8(8):e72352. doi: 10.1371/journal.pone.0072352. eCollection 2013.,PLoS One.  2013,PubMed,citation,PMID:23991098 | PMCID:PMC3753237,pubmed,23991098,create date:2013/08/31 | first author:Guo D
"Designing programs for eliminating canine rabies from islands: Bali, Indonesia as a case study.",/pubmed/23991233,"Townsend SE, Sumantra IP, Pudjiatmoko, Bagus GN, Brum E, Cleaveland S, Crafter S, Dewi AP, Dharma DM, Dushoff J, Girardi J, Gunata IK, Hiby EF, Kalalo C, Knobel DL, Mardiana IW, Putra AA, Schoonman L, Scott-Orr H, Shand M, Sukanadi IW, Suseno PP, et al.",PLoS Negl Trop Dis. 2013 Aug 22;7(8):e2372. doi: 10.1371/journal.pntd.0002372. eCollection 2013.,PLoS Negl Trop Dis.  2013,PubMed,citation,PMID:23991233 | PMCID:PMC3749988,pubmed,23991233,create date:2013/08/31 | first author:Townsend SE
"Eliminating canine rabies, the principal source of human infection: what will it take?",/pubmed/23523768,"Meslin FX, Briggs DJ.",Antiviral Res. 2013 May;98(2):291-6. doi: 10.1016/j.antiviral.2013.03.011. Epub 2013 Mar 21. Review.,Antiviral Res.  2013,PubMed,citation,PMID:23523768,pubmed,23523768,create date:2013/03/26 | first author:Meslin FX
Rabies and canine distemper virus epidemics in the red fox population of northern Italy (2006-2010).,/pubmed/23630599,"Nouvellet P, Donnelly CA, De Nardi M, Rhodes CJ, De Benedictis P, Citterio C, Obber F, Lorenzetto M, Pozza MD, Cauchemez S, Cattoli G.",PLoS One. 2013 Apr 22;8(4):e61588. doi: 10.1371/journal.pone.0061588. Print 2013.,PLoS One.  2013,PubMed,citation,PMID:23630599 | PMCID:PMC3632604,pubmed,23630599,create date:2013/05/01 | first author:Nouvellet P
"Dog bite histories and response to incidents in canine rabies-enzootic KwaZulu-Natal, South Africa.",/pubmed/23593511,"Hergert M, Nel LH.",PLoS Negl Trop Dis. 2013 Apr 4;7(4):e2059. doi: 10.1371/journal.pntd.0002059. Print 2013.,PLoS Negl Trop Dis.  2013,PubMed,citation,PMID:23593511 | PMCID:PMC3617105,pubmed,23593511,create date:2013/04/18 | first author:Hergert M
Rabies in Asia: the classical zoonosis.,/pubmed/22678037,"Wilde H, Hemachudha T, Wacharapluesadee S, Lumlertdacha B, Tepsumethanon V.",Curr Top Microbiol Immunol. 2013;365:185-203. doi: 10.1007/82_2012_228. Review.,Curr Top Microbiol Immunol.  2013,PubMed,citation,PMID:22678037,pubmed,22678037,create date:2012/06/09 | first author:Wilde H
Humoral immunity to smallpox vaccines and monkeypox virus challenge: proteomic assessment and clinical correlations.,/pubmed/23135728,"Townsend MB, Keckler MS, Patel N, Davies DH, Felgner P, Damon IK, Karem KL.",J Virol. 2013 Jan;87(2):900-11. doi: 10.1128/JVI.02089-12. Epub 2012 Nov 7.,J Virol.  2013,PubMed,citation,PMID:23135728 | PMCID:PMC3554095,pubmed,23135728,create date:2012/11/09 | first author:Townsend MB
Integrating the landscape epidemiology and genetics of RNA viruses: rabies in domestic dogs as a model.,/pubmed/22814380,"Brunker K, Hampson K, Horton DL, Biek R.",Parasitology. 2012 Dec;139(14):1899-913. doi: 10.1017/S003118201200090X. Epub 2012 Jul 20. Review.,Parasitology.  2012,PubMed,citation,PMID:22814380 | PMCID:PMC3526958,pubmed,22814380,create date:2012/07/21 | first author:Brunker K
"Community-based study on knowledge, attitudes and perception of rabies in Gelephu, south-central Bhutan.",/pubmed/24029402,"Tenzin, Dhand NK, Rai BD, Changlo, Tenzin S, Tsheten K, Ugyen P, Singye K, Ward MP.",Int Health. 2012 Sep;4(3):210-9. doi: 10.1016/j.inhe.2012.03.005.,Int Health.  2012,PubMed,citation,PMID:24029402,pubmed,24029402,create date:2013/09/14 | first author:Tenzin
"Dynamics of rabies epidemics and the impact of control efforts in Guangdong Province, China.",/pubmed/22273729,"Hou Q, Jin Z, Ruan S.",J Theor Biol. 2012 May 7;300:39-47. doi: 10.1016/j.jtbi.2012.01.006. Epub 2012 Jan 20.,J Theor Biol.  2012,PubMed,citation,PMID:22273729,pubmed,22273729,create date:2012/01/26 | first author:Hou Q
Modeling seasonal rabies epidemics in China.,/pubmed/22383117,"Zhang J, Jin Z, Sun GQ, Sun XD, Ruan S.",Bull Math Biol. 2012 May;74(5):1226-51. doi: 10.1007/s11538-012-9720-6. Epub 2012 Mar 1. Erratum in: Bull Math Biol. 2013 Jan;75(1):206-11. ,Bull Math Biol.  2012,PubMed,citation,PMID:22383117,pubmed,22383117,create date:2012/03/03 | first author:Zhang J
The implications of metapopulation dynamics on the design of vaccination campaigns.,/pubmed/22198516,"Beyer HL, Hampson K, Lembo T, Cleaveland S, Kaare M, Haydon DT.",Vaccine. 2012 Feb 1;30(6):1014-22. doi: 10.1016/j.vaccine.2011.12.052. Epub 2011 Dec 22.,Vaccine.  2012,PubMed,citation,PMID:22198516,pubmed,22198516,create date:2011/12/27 | first author:Beyer HL
Potential for rabies control through dog vaccination in wildlife-abundant communities of Tanzania.,/pubmed/22928056,"Fitzpatrick MC, Hampson K, Cleaveland S, Meyers LA, Townsend JP, Galvani AP.",PLoS Negl Trop Dis. 2012;6(8):e1796. doi: 10.1371/journal.pntd.0001796. Epub 2012 Aug 21.,PLoS Negl Trop Dis.  2012,PubMed,citation,PMID:22928056 | PMCID:PMC3424251,pubmed,22928056,create date:2012/08/29 | first author:Fitzpatrick MC
[Transmission dynamics and cost-effectiveness of rabies control in dogs and humans in an African city].,/pubmed/22393628,"Zinsstag J, DÃ_rr S, Penny MA, Mindekem R, Roth F, Menendez Gonzalez S, Naissengar S, Hattendorf J.",Med Trop (Mars). 2011 Dec;71(6):596-604. French. ,Med Trop (Mars).  2011,PubMed,citation,PMID:22393628,pubmed,22393628,create date:2012/03/08 | first author:Zinsstag J
Dog bites in humans and estimating human rabies mortality in rabies endemic areas of Bhutan.,/pubmed/22132247,"Tenzin, Dhand NK, Gyeltshen T, Firestone S, Zangmo C, Dema C, Gyeltshen R, Ward MP.",PLoS Negl Trop Dis. 2011 Nov;5(11):e1391. doi: 10.1371/journal.pntd.0001391. Epub 2011 Nov 22.,PLoS Negl Trop Dis.  2011,PubMed,citation,PMID:22132247 | PMCID:PMC3222627,pubmed,22132247,create date:2011/12/02 | first author:Tenzin
Effective antiviral treatment of systemic orthopoxvirus disease: ST-246 treatment of prairie dogs infected with monkeypox virus.,/pubmed/21697474,"Smith SK, Self J, Weiss S, Carroll D, Braden Z, Regnery RL, Davidson W, Jordan R, Hruby DE, Damon IK.",J Virol. 2011 Sep;85(17):9176-87. doi: 10.1128/JVI.02173-10. Epub 2011 Jun 22.,J Virol.  2011,PubMed,citation,PMID:21697474 | PMCID:PMC3165798,pubmed,21697474,create date:2011/06/24 | first author:Smith SK
Establishment of the black-tailed prairie dog (Cynomys ludovicianus) as a novel animal model for comparing smallpox vaccines administered preexposure in both high- and low-dose monkeypox virus challenges.,/pubmed/21632764,"Keckler MS, Carroll DS, Gallardo-Romero NF, Lash RR, Salzer JS, Weiss SL, Patel N, Clemmons CJ, Smith SK, Hutson CL, Karem KL, Damon IK.",J Virol. 2011 Aug;85(15):7683-98. doi: 10.1128/JVI.02174-10. Epub 2011 Jun 1.,J Virol.  2011,PubMed,citation,PMID:21632764 | PMCID:PMC3147922,pubmed,21632764,create date:2011/06/03 | first author:Keckler MS
